group|detection_smarts|smarts|contribute|composed|molecular_weight
CH3|[CX4H3]||"{""CH3"": 1}"|n|15.035
CH2|[CX4H2]||"{""CH2"": 1}"|n|14.027
CH|[CX4H]||"{""CH"": 1}"|n|13.019
C|[CX4H0]||"{""C"": 1}"|n|12.011
CH2=CH|[CH2]=[CH]||"{""CH2=CH"": 1}"|n|27.046
CH=CH|[CH]=[CH]||"{""CH=CH"": 1}"|n|26.038
CH2=C|[CH2]=[CH0]||"{""CH2=C"": 1}"|n|26.038
CH=C|[CH]=[CH0]||"{""CH=C"": 1}"|n|25.03
ACH|[cH]||"{""ACH"": 1}"|n|13.019
AC|[cH0]||"{""AC"": 1}"|n|12.011
ACCH3|[c][CX4H3]||"{""ACCH3"": 1, ""CH3"": -1, ""AC"": -1}"|y|27.046
ACCH2|[c][CX4H2]||"{""ACCH2"": 1, ""CH2"": -1, ""AC"": -1}"|y|26.038
ACCH|[c][CX4H]||"{""ACCH"": 1, ""CH"": -1, ""AC"": -1}"|y|25.03
OH|[OH]||"{""OH"": 1}"|n|17.007
CH3OH|[CH3][OH]||"{""CH3OH"": 1, ""CH3"": -1, ""OH"": -1}"|n|32.042
H2O|[OH2]||"{""H2O"": 1}"|n|18.015
ACOH|[cH0][OH]||"{""ACOH"": 1, ""OH"": -1, ""AC"": -1}"|y|29.018
CH3CO|[CH3]C(=O)([#6,Si])|[CH3]C(=O)|"{""CH3CO"": 1, ""CH3"" : -1}"|n|43.045
CH2CO|[CH2]C(=O)[$([#6,Si]);!$([CH3])]|[CH2]C(=O)|"{""CH2CO"": 1, ""CH2"": -1}"|n|42.037
HCO|[CH](=O)([#6,Si])|[CH](=O)|"{""HCO"": 1}"|n|29.018
CH3COO|[CH3][C](=O)[OH0]||"{""CH3COO"": 1, ""CH3"": -1, ""COO"": -1}"|y|59.044
CH2COO|[CH2][C](=O)[OH0]||"{""CH2COO"": 1, ""CH2"": -1, ""COO"": -1}"|y|58.036
HCOO|[CH](=O)[OH0]||"{""HCOO"": 1, ""COO"": -1}"|n|45.017
CH3O|[CH3]O[$([Si,#6]);!$([CH](=O));!$(C(=O)[!O])]|[CH3][OH0]|"{""CH3O"": 1, ""CH3"": -1}"|n|31.034
CH2O|[CH2]O[$([Si,#6]);!$([CH](=O));!$(C(=O)[!O]);!$([CH3])]|[CH2][OH0]|"{""CH2O"": 1, ""CH2"": -1}"|n|30.026
CHO|[CH]O[$([Si,#6]);!$([CH](=O));!$(C(=O)[!O]);!$([CH3]);!$([CH2])]|[CH][OH0]|"{""CHO"": 1, ""CH"": -1}"|n|29.018
THF|[C]1[CH2]O[CH2][C]1|[CH2;R][O;R]|"{""THF"": 1, ""CH2O"": -1}"|n|30.026
CH3NH2|[CH3][NH2]||"{""CH3NH2"": 1, ""CH3"": -1}"|n|31.058
CH2NH2|[CH2][NH2]||"{""CH2NH2"": 1, ""CH2"": -1}"|n|30.05
CHNH2|[CH][NH2]||"{""CHNH2"": 1, ""CH"": -1}"|n|29.042
CH3NH|[CH3][NH][#6,Si;!$([CH](=O));!$(C(=O)[!N])]|[CH3][NH]|"{""CH3NH"": 1, ""CH3"": -1}"|n|30.05
CH2NH|[CH2][NH][$([#6,Si;!$([CH](=O));!$(C(=O)[!N])])&!$([CH3])]|[CH2][NH]|"{""CH2NH"": 1, ""CH2"": -1}"|n|29.042
CHNH|[CH][NH][$([#6,Si;!$([CH](=O));!$(C(=O)[!N])])&!$([CH3])&!$([CH2])]|[CH][NH]|"{""CHNH"": 1, ""CH"": -1}"|n|28.034
CH3N|[CH3][NH0]([#6,Si;!$([CH](=O));!$(C(=O)[!N])])[#6,Si;!$([CH](=O));!$(C(=O)[!N])]|[CH3][NH0]|"{""CH3N"": 1, ""CH3"": -1}"|n|29.042
CH2N|[CH2][NH0]([$([#6,Si;!$([CH](=O));!$(C(=O)[!N])])&!$([CH3])])[$([#6,Si;!$([CH](=O));!$(C(=O)[!N])])&!$([CH3])]|[CH2][NH0]|"{""CH2N"": 1, ""CH2"": -1}"|n|28.034
ACNH2|[cH0][NH2]||"{""ACNH2"": 1, ""AC"": -1}"|n|28.034
C5H5N|[n](:[cH]:[cH]1):[cH]:[cH]:[cH]:1||"{""C5H5N"": 1, ""ACH"": -5}"|n|79.102
C5H4N|[n](:[cH0]:[cH]1):[cH]:[cH]:[cH]:1,[n](:[cH]:[cH0]1):[cH]:[cH]:[cH]:1,[n](:[cH]:[cH]1):[cH0]:[cH]:[cH]:1,[n](:[cH]:[cH]1):[cH]:[cH]:[cH0]:1||"{""C5H4N"": 1, ""ACH"": -4, ""AC"":-1}"|n|78.094
C5H3N|[n](:[cH]:[cH]1):[cH0]:[cH0]:[cH]:1,[n](:[cH]:[cH]1):[cH0]:[cH]:[cH0]:1,[n](:[cH]:[cH0]1):[cH0]:[cH]:[cH]:1,[n](:[cH0]:[cH]1):[cH0]:[cH]:[cH]:1,[n](:[cH]:[cH]1):[cH]:[cH0]:[cH0]:1||"{""C5H3N"": 1, ""ACH"": -3, ""AC"": -2}"|n|77.086
CH3CN|[CH3][C]#[N]||"{""CH3CN"": 1, ""CH3"": -1}"|n|41.053
CH2CN|[CH2][C]#[N]||"{""CH2CN"": 1, ""CH2"": -1}"|n|40.045
COOH|[CH0](*)(=O)(-[OH])|[CH0](=O)(-[OH])|"{""COOH"": 1, ""OH"": -1}"|n|45.017
HCOOH|[CH](=O)(-[OH])||"{""HCOOH"": 1, ""OH"": -1}"|n|46.025
CH2CL|[CH2](Cl)([!Cl])|[CH2][Cl]|"{""CH2CL"": 1, ""CH2"": -1}"|n|49.48
CHCL|[CH](Cl)([!Cl])([!Cl])|[CH][Cl]|"{""CHCL"": 1, ""CH"": -1}"|n|48.472
CCL|[CH0](Cl)([!Cl])([!Cl])([!Cl])|[CH0][Cl]|"{""CCL"": 1, ""C"": -1}"|n|47.464
CH2CL2|[CH2](Cl)(Cl)||"{""CH2CL2"": 1, ""CH2"": -1}"|n|84.933
CHCL2|[CH](Cl)(Cl)([!Cl])|[CH](Cl)(Cl)|"{""CHCL2"": 1, ""CH"": -1}"|n|83.925
CCL2|[CH0](Cl)(Cl)([!Cl])([!Cl])|[CH0](Cl)(Cl)|"{""CCL2"": 1, ""C"": -1}"|n|82.917
CHCL3|[CH](Cl)(Cl)(Cl)||"{""CHCL3"": 1, ""CH"": -1}"|n|119.378
CCL3|[CH0](Cl)(Cl)(Cl)([!Cl])|[CH0](Cl)(Cl)(Cl)|"{""CCL3"": 1, ""C"": -1}"|n|118.37
CCL4|[CH0](Cl)(Cl)(Cl)(Cl)||"{""CCL4"": 1, ""C"": -1}"|n|153.823
ACCL|[cH0](Cl)||"{""ACCL"": 1, ""AC"": -1}"|n|47.464
CH3NO2|[CH3]N(=O)(O)||"{""CH3NO2"": 1, ""CH3"": -1}"|n|61.04
CH2NO2|[CH2]N(=O)(O)||"{""CH2NO2"": 1, ""CH2"": -1}"|n|60.032
CHNO2|[CH]N(=O)(O)||"{""CHNO2"": 1, ""CH"": -1}"|n|59.024
